"ID","Nombre VM","Estado","Estatus","CPU CORES","vCPUs","CPU Asignado Mhz","CPU Uso Mhz","MEM Asignada(GB)","MEM Uso (GB)","Disco Asignado (GB)","Disco Uso (GB)","Disco Read Latency","Disco Write Latency","Disco Read IOPS","Disco Write IOPS","Sistema Op.","IP address","Host","Path"
"dbc12b71-a35c-5050-8a1c-6927b3a4347a","W2K19-ESP","POWERED_OFF","OK","2","2","0","0","8","0","120","14.419972554780543","0","0","0","0","Microsoft Windows Server 2016 or later (64-bit)","","esxi-lurin-02.comercio.local","[DS-SYNC-001] W2K19-ESP/W2K19-ESP.vmtx"
"1a17cd07-1166-5935-8643-c31421b9319b","LCECTESRV02","POWERED_ON","OK","6","6","0","315","14","0.83984375","380","385.73503020685166","0","0","0","503","Microsoft Windows Server 2012 (64-bit)","10.10.35.93","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECTESRV02/LCECTESRV02.vmx"
"9c72aff4-a727-5b63-ad6e-1e0171d7ef5f","W10-ESTACION","POWERED_OFF","OK","2","4","0","0","8","0","100","38.50101354345679","0","0","0","0","Microsoft Windows 10 (64-bit)","","esxi-surco-02.comercio.local","[DS-PAN-LC-004] W10-ESTACION/W10-ESTACION.vmtx"
"1756521e-7300-582f-ae89-68356eb67d61","PAECPCDESA06","POWERED_ON","OK","4","8","0","315","16","2.7197265625","100","94.83098848164082","0","0","2","1990","Microsoft Windows 10 (64-bit)","10.10.21.15","esxi-surco-03.comercio.local","[DS-VIC-LC-001] PAECPCDESA06/PAECPCDESA06.vmx"
"db73eb8b-c9f0-5068-9807-887540194dd9","SERVL009-R40","POWERED_OFF","OK","4","16","0","0","4","0","240","215.1194193875417","0","0","0","0","Microsoft Windows Server 2003 Standard (32-bit)","192.168.5.15","esxi-lurin-02.comercio.local","[DS-SYNC-001] SERVL009-R40/SERVL009-R40.vmx"
"9879e5ad-62aa-5910-a49d-d6f7e492761e","PAECCPAS02","POWERED_ON","OK","8","8","0","882","8","1.51953125","1000","284.50115054287016","0","0","0","2550","CentOS 4/5/6 (64-bit)","10.10.30.22","esxi-surco-03.comercio.local","[DS-VIC-LC-001] PAECCPAS02/PAECCPAS02.vmx"
"aab26cf3-09ea-549f-8d72-f01af41195ad","LCECRQWSPSD","POWERED_ON","OK","4","4","0","42","16","0.1591796875","200","81.37814471218735","0","0","0","385","Debian GNU/Linux 10 (64-bit)","10.10.28.92","esxi-surco-03.comercio.local","[DS-VIC-LC-002] LCECRQWSPSD/LCECRQWSPSD.vmx"
"fb03593b-5a13-58f5-a0eb-889a0369f78b","LCECPMAAPP","POWERED_ON","OK","2","2","0","63","16","0.3193359375","120","110.49868001881987","0","0","0","410","Microsoft Windows Server 2016 (64-bit)","10.10.34.22","esxi-surco-03.comercio.local","[DS-VIC-LC-003] LCECPMAAPP/LCECPMAAPP.vmx"
"86fd4c80-ebcf-55b4-b5e2-b39fc85c0e87","LCECTESRV12","POWERED_ON","OK","4","4","0","273","32","1.279296875","250","125.10441116336733","0","0","0","0","Microsoft Windows Server 2016 (64-bit)","10.10.28.73","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECTESRV12/LCECTESRV12.vmx"
"cc3d7c62-c2b4-54e4-b286-093b17bda5fe","LCECCUCMSUB01","POWERED_ON","OK","2","2","0","168","6","0.4794921875","150","44.99987642467022","0","0","0","1758","Other Linux (32-bit)","172.16.0.1","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECCUCMSUB01/LCECCUCMSUB01.vmx"
"ca20d8ec-0783-56e9-8542-7793ce4201ee","TITAN01","POWERED_ON","OK","12","72","0","105","32","0.9599609375","1400","1003.9794277902693","12","0","0","18","Red Hat Enterprise Linux 6 (64-bit)","10.10.3.1","esxi-surco-03.comercio.local","[DS-VIC-LC-001] TITAN01/TITAN01.vmx"
