

===================================
AI Trader Integrated V2.11
Market Scan: 2026-09-25 01:17:17.853013
Run ID: MAIN_20260925_011717
===================================
[PERF-TRACKER] V1.4 cache strategy | persistent_broad_request=5y | auto_adjust=False | miss_acquisition=MarketDataV2-multi
[MARKET_DATA] CACHE HIT | ticker=PRAX | period=5y | interval=1d | auto_adjust=False | cache=market_7d1cc37aed76609ee883218497f752962e9fea8a3708c42b899ecfbc87aead79.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=PRAX | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=QTTB | period=5y | interval=1d | auto_adjust=False | cache=market_34b5a0415b29cd24cca781f793c1d1682099b0a4705bdd6c601945fb5bc378b4.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=QTTB | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SLS | period=5y | interval=1d | auto_adjust=False | cache=market_24405caea2e2c97678da24d26b00c89c048197894c48277e4cd19a03f04f036c.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SLS | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SNDK | period=5y | interval=1d | auto_adjust=False | cache=market_7d8494ff9366f9c914506b209818ff85c244e0da5d1bbfa1eccbb148205e7a19.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SNDK | cache=AVAILABLE | broad=5y | rows=405 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SOXL | period=5y | interval=1d | auto_adjust=False | cache=market_b5d42b29bdfbdc93fedaac9e0b17400010f9c01c4f8537509979f210b0ffcb05.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SOXL | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SPCX | period=5y | interval=1d | auto_adjust=False | cache=market_2e3944ae8b394074f38074eeb2a3a9483423c22f612ae2ea26ac50c8eb0c0e4e.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SPCX | cache=AVAILABLE | broad=5y | rows=72 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SPRB | period=5y | interval=1d | auto_adjust=False | cache=market_e2602b0ca8deced3c6c2aa3769062900d3e858ec7c73c96fcad394407953c1fe.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SPRB | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SURG | period=5y | interval=1d | auto_adjust=False | cache=market_b971cf23fbc816cf3902ced52e1e4c77dd285089fb52837a533e9ae38a687a53.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SURG | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=SYRE | period=5y | interval=1d | auto_adjust=False | cache=market_d2bed0a3f7d6781c0bb2ccb5f5c67f8ac4db0658763da4d9f6fc5fe95bdb2c9f.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=SYRE | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=TQQQ | period=5y | interval=1d | auto_adjust=False | cache=market_65bd3e01755f27c882e3c72bcf466e38f64ffd3ec9467f607a1a1cb714b0045e.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=TQQQ | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=TSLA | period=5y | interval=1d | auto_adjust=False | cache=market_e688ece316bfccd766bfa155230087dc559a8f38607445c4519f892c2a66de0f.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=TSLA | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
